4/30/2019 10:28:16 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ	
3236	36664.9	1	7.7	10	-6.5	7.469939	10.15264	-6.314163	7.441265	9.865952	-6.14878	0.0367887	0	-0.03109646	
3237	36676.28	1	7.7	10	-6.5	7.47127	10.15236	-6.31412	7.441149	9.866116	-6.148981	7.358683	9.917598	-6.17241	
3238	36687.23	1	7.7	10	-6.5	7.472714	10.15199	-6.314281	7.441117	9.866237	-6.149191	7.365114	9.924866	-6.177231	
3239	36699.06	1	7.7	10	-6.5	7.473823	10.15162	-6.314481	7.441009	9.866299	-6.149291	7.368152	9.927835	-6.17938	
3240	36709.29	1	7.7	10	-6.5	7.475033	10.15128	-6.314268	7.441013	9.866408	-6.149422	7.370994	9.930433	-6.181015	
3241	36720.75	1	7.7	10	-6.5	7.476062	10.15077	-6.314383	7.440998	9.866529	-6.149547	7.373252	9.932302	-6.182475	
3242	36732.11	1	7.7	10	-6.5	7.477349	10.1505	-6.314558	7.441045	9.866664	-6.149713	7.375489	9.934042	-6.183809	
3243	36742.61	1	7.7	10	-6.5	7.47831	10.15017	-6.314242	7.44111	9.866692	-6.149837	7.377269	9.935365	-6.184597	
3244	36754.25	1	7.7	10	-6.5	7.479513	10.14972	-6.314273	7.441157	9.866707	-6.149921	7.379217	9.936633	-6.185612	
3245	36764.62	1	7.7	10	-6.5	7.48052	10.1496	-6.31429	7.441189	9.866661	-6.149929	7.380548	9.937432	-6.186183	
3246	36776.52	1	7.7	10	-6.5	7.481427	10.14945	-6.314001	7.441239	9.866605	-6.150001	7.381848	9.938251	-6.186599	
3247	36787.46	1	7.7	10	-6.5	7.482388	10.14922	-6.313986	7.441282	9.866574	-6.149972	7.383122	9.938948	-6.187112	
3248	36798.95	1	7.7	10	-6.5	7.483258	10.14922	-6.314052	7.441373	9.866518	-6.149879	7.384039	9.939358	-6.187391	
3249	36809.62	1	7.7	10	-6.5	7.483853	10.1491	-6.313646	7.441498	9.866473	-6.149655	7.384818	9.939733	-6.187343	
3250	36821.33	1	7.7	10	-6.5	7.48461	10.14883	-6.313654	7.441576	9.866357	-6.149525	7.385724	9.940037	-6.187629	
3251	36832.24	1	7.7	10	-6.5	7.485148	10.14874	-6.313652	7.441612	9.866248	-6.149432	7.386285	9.940206	-6.187762	
3252	36843.65	1	7.7	10	-6.5	7.485619	10.14855	-6.313485	7.441627	9.866055	-6.149341	7.38683	9.940331	-6.187818	
3253	36854.78	1	7.7	10	-6.5	7.486136	10.14828	-6.31343	7.441711	9.865868	-6.149198	7.387408	9.940382	-6.187912	
3254	36866.31	1	7.7	10	-6.5	7.486497	10.14811	-6.313191	7.441715	9.865668	-6.148962	7.387784	9.940392	-6.187794	
3255	36878.19	1	7.7	10	-6.5	7.486642	10.14798	-6.312799	7.441797	9.865509	-6.148786	7.387981	9.940355	-6.187541	
3256	36889.65	1	7.7	10	-6.5	7.486848	10.14781	-6.31248	7.441753	9.865504	-6.148493	7.388321	9.940536	-6.187419	
3257	36900.79	1	7.7	10	-6.5	7.486938	10.14773	-6.312253	7.441813	9.865526	-6.148426	7.388526	9.940659	-6.187354	
3258	36913.45	1	7.7	10	-6.5	7.486915	10.1475	-6.311909	7.441835	9.865445	-6.148355	7.388671	9.94069	-6.187234	
3259	36924.14	1	7.7	10	-6.5	7.486671	10.14729	-6.3114	7.441919	9.865408	-6.148272	7.388638	9.940673	-6.186956	
3260	36936.02	1	7.7	10	-6.5	7.486476	10.14714	-6.311086	7.441983	9.865428	-6.148206	7.388596	9.940671	-6.186782	
3261	36947.73	1	7.7	10	-6.5	7.486151	10.1468	-6.310553	7.442085	9.865367	-6.148167	7.388554	9.940616	-6.186535	
3262	36959.15	1	7.7	10	-6.5	7.485557	10.14651	-6.309945	7.442114	9.865343	-6.148134	7.388243	9.940511	-6.186183	
3263	36969.64	1	7.7	10	-6.5	7.485111	10.14632	-6.309433	7.442087	9.865339	-6.148055	7.388004	9.940471	-6.185874	
3264	36981.04	1	7.7	10	-6.5	7.484639	10.14591	-6.308772	7.442198	9.865203	-6.148088	7.387856	9.940323	-6.185556	
