4/14/2019 1:47	The file contains frame by frame data of location for 3 tracked objects 													
The coordinate system is in Unity world coordinates.														
-------------------------------------------------														
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ
3503	39705.33	0	0	0	0	7.090842	10.16324	-6.932995	7.908882	9.825055	-6.937521	10.8212	10.36136	4.750001
3504	39716.84	0	0	0	0	7.090911	10.16312	-6.934189	7.908877	9.825052	-6.937566	10.8212	10.36136	4.750001
3505	39728.2	0	0	0	0	7.091199	10.16288	-6.935605	7.908877	9.825006	-6.937665	10.8212	10.36136	4.750001
3506	39739.92	0	0	0	0	7.091473	10.16266	-6.937037	7.90892	9.82508	-6.937693	10.8212	10.36136	4.750001
3507	39750.58	0	0	0	0	7.09162	10.16254	-6.938357	7.908916	9.825109	-6.937665	10.8212	10.36136	4.750001
3508	39762.04	0	0	0	0	7.091898	10.16237	-6.939646	7.908913	9.825112	-6.937698	10.8212	10.36136	4.750001
3509	39773.09	0	0	0	0	7.092075	10.16203	-6.940919	7.908876	9.825058	-6.937665	10.8212	10.36136	4.750001
3510	39784.11	0	0	0	0	7.092342	10.16169	-6.942209	7.908868	9.825085	-6.937632	10.8212	10.36136	4.750001
3511	39795.32	0	0	0	0	7.092546	10.16135	-6.943351	7.908965	9.825052	-6.937637	8.648086	0	4.667602
3512	39806.37	0	0	0	0	7.092668	10.16073	-6.944447	7.908874	9.824914	-6.937577	8.628898	0.1590326	4.75
3513	39818.12	0	0	0	0	7.092823	10.1603	-6.94549	7.908835	9.824905	-6.937595	12.49625	0	-2.63255
3514	39829.21	0	0	0	0	7.092938	10.15997	-6.946352	7.908833	9.824898	-6.937578	12.50082	0	-2.554409
3515	39839.98	0	0	0	0	7.093139	10.15951	-6.947144	7.908898	9.825	-6.937621	12.50455	0	-2.476678
3516	39851.29	0	0	0	0	7.093446	10.15908	-6.948192	7.908886	9.824981	-6.937648	12.49855	0	-2.379289
3517	39862.52	0	0	0	0	7.093463	10.15875	-6.948584	7.908964	9.824939	-6.937671	12.51086	0	-2.336862
3518	39873.78	0	0	0	0	7.093451	10.15821	-6.94928	7.90899	9.824991	-6.937685	12.53485	0	-2.262144
3519	39884.71	0	0	0	0	7.093499	10.15783	-6.950206	7.908927	9.825007	-6.937728	12.54712	0	-2.174783
3520	39896.45	0	0	0	0	7.093019	10.15759	-6.950821	7.90893	9.82502	-6.937716	12.59562	0	-2.116803
3521	39907.06	0	0	0	0	7.09288	10.15714	-6.951699	7.908919	9.825006	-6.937712	12.62654	0	-2.02934
3522	39918.66	0	0	0	0	7.092739	10.15699	-6.952408	7.908881	9.825048	-6.937684	12.64428	0	-1.966967
3523	39929.4	0	0	0	0	7.092592	10.15673	-6.953044	7.908899	9.825068	-6.937666	12.66745	0	-1.905788
3524	39940.7	0	0	0	0	7.092539	10.15652	-6.953747	7.908898	9.825109	-6.937669	12.68094	0	-1.84101
3525	39951.7	0	0	0	0	7.092249	10.15621	-6.954306	7.908866	9.825141	-6.937655	12.71782	0	-1.783663
3526	39966.03	0	0	0	0	7.092868	10.15597	-6.954456	7.908903	9.825178	-6.937607	12.67911	0	-1.76138
3527	39974.16	0	0	0	0	7.092665	10.15567	-6.9551	7.908864	9.825155	-6.937578	12.7088	0	-1.697007
3528	39985.41	0	0	0	0	7.092416	10.15536	-6.95584	7.908921	9.82515	-6.93762	12.74273	0	-1.624198
3529	39996.48	0	0	0	0	7.092252	10.15514	-6.956586	7.908881	9.82516	-6.937684	12.76615	0	-1.554162
3530	40007.39	0	0	0	0	7.092245	10.15511	-6.957428	7.908833	9.825104	-6.937661	20.87208	1.8936	4.75
3531	40018.8	0	0	0	0	7.092144	10.15508	-6.958105	7.908865	9.825104	-6.937634	20.78017	1.960317	4.75
3532	40029.74	0	0	0	0	7.092616	10.15548	-6.958896	7.908883	9.825119	-6.937622	20.78035	1.653557	4.75
3533	40041.09	0	0	0	0	7.092632	10.15595	-6.959408	7.908835	9.825059	-6.937595	20.69869	1.640401	4.75
3534	40052.52	0	0	0	0	7.092838	10.15607	-6.959928	7.90888	9.825035	-6.937651	20.59203	1.673808	4.75
3535	40063.27	0	0	0	0	7.093082	10.15612	-6.960531	7.908879	9.825022	-6.937674	20.46907	1.724838	4.75
3536	40074.71	0	0	0	0	7.093189	10.15619	-6.961177	7.908886	9.825031	-6.937685	20.35917	1.776127	4.75
3537	40085.66	0	0	0	0	7.093248	10.15625	-6.96182	7.908895	9.825056	-6.937615	20.25753	1.827926	4.75
3538	40096.9	0	0	0	0	7.09331	10.15605	-6.962012	7.908915	9.82506	-6.937591	20.22181	1.871559	4.75
3539	40108	0	0	0	0	7.093248	10.15567	-6.962273	7.908902	9.825045	-6.937574	20.19217	1.943712	4.75
3540	40119.1	0	0	0	0	7.093335	10.1552	-6.963075	7.908906	9.825033	-6.937612	20.0669	2.075131	4.75
3541	40130.46	0	0	0	0	7.093087	10.15447	-6.963643	7.908871	9.825001	-6.937678	21.39555	1.533092	4.75
3542	40141.95	0	0	0	0	7.097696	10.15816	-6.966265	7.908796	9.824913	-6.937649	20.36391	1.301773	4.75
3543	40153.22	0	0	0	0	7.098535	10.15746	-6.967218	7.908792	9.8249	-6.937655	20.57372	1.402916	4.75
3544	40164.02	0	0	0	0	7.098208	10.15738	-6.967482	7.908772	9.824877	-6.937673	20.57665	1.439448	4.75
3545	40174.98	0	0	0	0	7.099263	10.15866	-6.968152	7.908774	9.824917	-6.937689	20.1925	0.9809208	4.75
3546	40186.29	0	0	0	0	7.10043	10.15852	-6.968564	7.908793	9.824892	-6.937643	19.87955	1.26088	4.75
3547	40197.56	0	0	0	0	7.100063	10.15887	-6.968685	7.908762	9.824891	-6.937675	19.91025	1.227185	4.75
3548	40210.23	0	0	0	0	7.101275	10.16051	-6.969298	7.908821	9.825037	-6.937736	19.44727	1.25387	4.75
3549	40219.99	0	0	0	0	7.102647	10.16055	-6.969995	7.908841	9.825056	-6.937665	19.17982	1.31621	4.75
3550	40230.76	0	0	0	0	7.102149	10.16086	-6.970529	7.908866	9.825074	-6.937622	19.3761	1.566276	4.75
3551	40242.65	0	0	0	0	7.103105	10.1615	-6.970836	7.908885	9.825132	-6.937627	19.21584	1.51475	4.75
3552	40253.12	0	0	0	0	7.106008	10.16101	-6.971969	7.908919	9.825115	-6.937658	18.77654	1.731688	4.75
3553	40264.3	0	0	0	0	7.105918	10.16099	-6.972685	7.908961	9.825136	-6.937618	18.69924	1.796917	4.75
3554	40275.37	0	0	0	0	7.106259	10.16046	-6.972661	7.908859	9.825011	-6.937598	18.66023	1.8604	4.75
3555	40286.88	0	0	0	0	7.108655	10.16009	-6.973365	7.908863	9.825009	-6.93759	18.28156	1.966962	4.75
3556	40298.3	0	0	0	0	7.108093	10.15996	-6.973725	7.908879	9.825028	-6.937572	18.30816	2.013594	4.75
3557	40309.16	0	0	0	0	7.108173	10.15928	-6.973296	7.908855	9.824986	-6.937551	18.34867	2.060013	4.75
3558	40320.21	0	0	0	0	7.109724	10.15929	-6.973443	7.908785	9.825015	-6.937594	18.14176	2.071619	4.75
3559	40331.65	0	0	0	0	7.108867	10.15934	-6.973423	7.908775	9.825022	-6.937584	18.24879	2.064169	4.75
3560	40342.56	0	0	0	0	7.108951	10.15899	-6.972976	7.908781	9.825076	-6.937599	18.29095	2.068245	4.75
3561	40354.13	0	0	0	0	7.109588	10.15936	-6.972708	7.908803	9.82506	-6.937637	18.24418	2.000633	4.75
3562	40365.89	0	0	0	0	7.108435	10.15976	-6.972346	7.908822	9.825076	-6.93762	18.42946	1.919096	4.75
3563	40376.23	0	0	0	0	7.108199	10.15936	-6.971932	7.908804	9.825089	-6.937613	18.50876	1.933112	4.75
3564	40387.61	0	0	0	0	7.107979	10.15953	-6.971664	7.908847	9.825054	-6.937647	18.56885	1.888169	4.75
3565	40398.75	0	0	0	0	7.10668	10.15968	-6.971576	7.908883	9.825069	-6.937613	18.74161	1.861134	4.75
