4/14/2019 1:29	The file contains frame by frame data of location for 3 tracked objects 										
The coordinate system is in Unity world coordinates.											
-------------------------------------------------											
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ
558	6834.555	-1	7.5	10	-6.2	6.98289	10.16614	-6.751286	7.363239	10.02262	-6.334846
559	6846.121	-1	7.5	10	-6.2	6.982234	10.1662	-6.750556	7.356594	10.02209	-6.33508
560	6857.195	-1	7.5	10	-6.2	6.983191	10.16644	-6.749047	7.34942	10.02147	-6.335067
561	6870.138	-1	7.5	10	-6.2	6.982804	10.16645	-6.748702	7.33943	10.02104	-6.335575
562	6879.448	-1	7.5	10	-6.2	6.982144	10.1665	-6.747735	7.330467	10.02093	-6.336163
563	6892.207	-1	7.5	10	-6.2	6.981957	10.16657	-6.746479	7.318896	10.02087	-6.337731
564	6901.557	-1	7.5	10	-6.2	6.981692	10.16648	-6.746447	7.309392	10.0207	-6.338871
565	6913.907	-1	7.5	10	-6.2	6.980977	10.16655	-6.745527	7.296558	10.0209	-6.340138
566	6925.066	-1	7.5	10	-6.2	6.979774	10.16654	-6.744804	7.284935	10.02057	-6.341975
567	6935.389	-1	7.5	10	-6.2	6.979416	10.16652	-6.744557	7.274772	10.02032	-6.343327
568	6946.455	-1	7.5	10	-6.2	6.978855	10.16653	-6.743917	7.264125	10.01971	-6.344329
569	6957.964	-1	7.5	10	-6.2	6.977118	10.16628	-6.743579	7.252889	10.01911	-6.345534
570	6968.827	-1	7.5	10	-6.2	6.976644	10.1662	-6.743402	7.242279	10.01806	-6.346227
571	6979.95	-1	7.5	10	-6.2	6.975953	10.16624	-6.74294	7.231622	10.01724	-6.347192
572	6991.151	-1	7.5	10	-6.2	6.974247	10.16613	-6.742846	7.221142	10.01661	-6.348284
573	7002.126	-1	7.5	10	-6.2	6.973693	10.16591	-6.742691	7.210793	10.01593	-6.349069
574	7013.387	-1	7.5	10	-6.2	6.973066	10.16591	-6.742474	7.200461	10.01509	-6.350024
