4/21/2019 10:31:48 PM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ	
28430	319953.9	-1	7.5	10	-6.2	6.898779	10.15736	-6.550127	7.437562	10.0212	-6.300728	42.79845	15.56168	4.75	
28431	319964.5	-1	7.5	10	-6.2	6.898274	10.15738	-6.549389	7.43559	10.02273	-6.302563	42.79845	15.56168	4.75	
28432	319975.8	-1	7.5	10	-6.2	6.897679	10.1574	-6.548423	7.43151	10.0249	-6.304145	42.79845	15.56168	4.75	
28433	319987.3	-1	7.5	10	-6.2	6.897164	10.15746	-6.547355	7.426824	10.02804	-6.306283	42.79845	15.56168	4.75	
28434	320001.8	-1	7.5	10	-6.2	6.896668	10.15746	-6.546071	7.420961	10.03062	-6.307975	42.79845	15.56168	4.75	
28435	320010.3	-1	7.5	10	-6.2	6.896137	10.15743	-6.544805	7.413723	10.03328	-6.310159	42.79845	15.56168	4.75	
28436	320020.8	-1	7.5	10	-6.2	6.895597	10.15747	-6.543404	7.406832	10.03561	-6.312326	42.79845	15.56168	4.75	
28437	320032.3	-1	7.5	10	-6.2	6.894969	10.15734	-6.541871	7.399195	10.03795	-6.314955	42.79845	15.56168	4.75	
28438	320042.8	-1	7.5	10	-6.2	6.894365	10.15716	-6.54026	7.390949	10.0397	-6.317473	42.79845	15.56168	4.75	
28439	320054.1	-1	7.5	10	-6.2	6.893635	10.15706	-6.538557	7.38197	10.04109	-6.319696	42.79845	15.56168	4.75	
28440	320065.5	-1	7.5	10	-6.2	6.892795	10.15689	-6.536581	7.371382	10.04205	-6.321911	42.79845	15.56168	4.75	
28441	320076.8	-1	7.5	10	-6.2	6.891899	10.1567	-6.534696	7.360926	10.04277	-6.324661	42.79845	15.56168	4.75	
28442	320087.5	-1	7.5	10	-6.2	6.890776	10.15658	-6.53267	7.349091	10.04324	-6.326839	42.79845	15.56168	4.75	
28443	320098.6	-1	7.5	10	-6.2	6.889652	10.15629	-6.530598	7.336616	10.04381	-6.329124	42.79845	15.56168	4.75	
28444	320110.3	-1	7.5	10	-6.2	6.88839	10.15599	-6.528393	7.323306	10.04391	-6.331729	42.79845	15.56168	4.75	
28445	320121	-1	7.5	10	-6.2	6.887064	10.15578	-6.52615	7.310315	10.04395	-6.333842	42.79845	15.56168	4.75	
28446	320134.8	-1	7.5	10	-6.2	6.885834	10.15554	-6.523851	7.296527	10.04348	-6.335665	42.79845	15.56168	4.75	
28447	320144.2	-1	7.5	10	-6.2	6.884562	10.15529	-6.521819	7.281693	10.04302	-6.337758	42.79845	15.56168	4.75	
28448	320154.5	-1	7.5	10	-6.2	6.883265	10.1552	-6.519958	7.267172	10.04221	-6.339658	42.79845	15.56168	4.75	
28449	320166.4	-1	7.5	10	-6.2	6.881893	10.15483	-6.518062	7.252033	10.04121	-6.341199	42.79845	15.56168	4.75	
28450	320177.1	-1	7.5	10	-6.2	6.88046	10.15438	-6.516317	7.236432	10.03978	-6.343516	42.79845	15.56168	4.75	
28451	320188.5	-1	7.5	10	-6.2	6.878908	10.15405	-6.514597	7.221181	10.03865	-6.346146	42.79845	15.56168	4.75	
28452	320199	-1	7.5	10	-6.2	6.877296	10.1534	-6.513247	7.206315	10.03763	-6.349016	42.79845	15.56168	4.75	
28453	320210.4	-1	7.5	10	-6.2	6.87555	10.15292	-6.511762	7.19172	10.03664	-6.352452	42.79845	15.56168	4.75	
28454	320221.4	-1	7.5	10	-6.2	6.873942	10.15257	-6.510423	7.177726	10.03644	-6.356524	42.79845	15.56168	4.75	
